piece number,work,book,composer,4 hands,start_pdf,end_pdf,comments,time fix,henle_difficulty,URI metadata difficulty,URI score IMSLP
11,Parallel Motion,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,9,9,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
12,Reflection,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,9,9,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
13,Change of Position,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,10,10,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
14,Question and Answer,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,10,10,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
15,Village Song,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,11,11,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
16,Parallel Motion and Change of Position,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,11,11,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
17,Contrary Motion (1),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,12,12,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
18,"Four Unison Melodies, no. 1","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,12,12,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
19,"Four Unison Melodies, no. 2","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,13,13,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
20,"Four Unison Melodies, no. 3","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,13,13,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
21,"Four Unison Melodies, no. 4","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,13,13,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
22,Imitation and Counterpoint,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,14,14,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
23,Imitation and Inversion (1),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,14,14,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
24,Pastorale,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,15,15,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
25,Imitation and Inversion (2),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,16,16,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
26,Repetition (2),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,17,17,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
27,Syncopation (2),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,17,17,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
28,Canon at the Octave,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,18,18,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
29,Imitation Reflected,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,18,18,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
30,Canon at the Lower Fifth,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,19,19,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
31,Little Dance in Canon Form,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,19,19,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
32,In Dorian Mode,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,20,20,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
33,Slow Dance,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,21,21,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
34,In Phrygian Mode,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,22,22,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
35,Chorale,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,23,23,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
36,Free Canon,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,24,24,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
37,In Lydian Mode,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,31,31,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
38,Staccato and Legato (1),"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,32,32,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
39,"Staccato and Legato (2, Canon)","Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,32,32,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
40,In Yugoslav Style,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,33,33,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
41,Melody with Accompaniment,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,34,34,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
42,Accompaniment in Broken Triads,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,35,35,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
43,In Hungarian Style,"Mikrokosmos, Volumes I-II",Béla Bártok,TRUE,,,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
44,Contrary Motion (2),"Mikrokosmos, Volumes I-II",Béla Bártok,TRUE,,,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
45,M\u00e9ditation,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,38,38,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
46,Increasing - Diminishing,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,39,39,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
47,Big Fair,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,40,40,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
48,In Mixolydian Mode,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,41,41,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
49,Crescendo - Diminuendo,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,42,42,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
50,Minuetto,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,42,42,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
51,Waves,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,43,43,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
52,Monody Divided,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,44,44,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
53,In Transylvanian Style,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,44,45,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
54,Chromatic,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,45,45,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
55,Triplets in Lydian Mode,"Mikrokosmos, Volumes I-II",Béla Bártok,TRUE,,,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
56,Melody in Tenths,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,48,48,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
57,Accents,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,48,49,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
58,In Oriental Style,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,49,49,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
59,Major and Minor,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,50,50,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
60,Canon with Sustained Notes,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,51,51,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
61,Pentatonic Melody,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,52,52,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
62,Minor Sixths in Parallel Motion,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,53,53,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
63,Buzzing,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,54,54,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
64,Line and Point,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,55,55,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
65,Dialogue,"Mikrokosmos, Volumes I-II",Béla Bártok,TRUE,,,,,Piano 1 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
66,Melody Divided,"Mikrokosmos, Volumes I-II",Béla Bártok,FALSE,58,58,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+I-II_1408,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
67,Thirds against a Single Voice,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,68,68,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
68,Hungarian Dance,"Mikrokosmos, Volumes III-IV",Béla Bártok,TRUE,,,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
69,Chord Study,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,71,72,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
70,Melody against Double Notes,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,73,73,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
71,Thirds,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,74,74,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
72,Dragons' Dance,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,75,75,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
73,Sixths and Triads,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,76,76,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
74,Hungarian Song,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,79,79,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
75,Triplets,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,80,80,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
76,In Three Parts,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,81,81,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
77,Little Study,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,82,82,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
78,Five-tone Scale,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,83,83,,,Piano 2 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
79,Hommage \u00e0 J. S. B.,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,84,84,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
80,Hommage \u00e0 R. Sch.,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,85,85,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
81,Wandering,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,86,86,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
82,Scherzo,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,87,87,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
83,Melody with Interruptions,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,88,88,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
84,Merriment,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,89,90,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
85,Broken Chords,"Mikrokosmos, Volumes III-IV",Béla Bártok,FALSE,91,92,,,Piano 3 easy,https://www.henle.de/en/detail/?Title=Mikrokosmos%2C+Volumes+III-IV_1409,https://imslp.hk/files/imglnks/euimg/2/21/IMSLP465640-PMLP3661-Bela_Bartok_-_Mikrokosmos.pdf
